exercise_id,exercise_name,movement_pattern,aether_pattern,aether_node,contraindicated_populations,load_standard_band,load_band_primary,load_band_range,plyo_contacts,e_node,intensity_vmax,fv_zones,is_plyometric,is_sprint
EX_00100,Anti rotation Press - half kneeling cable,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00101,Anti Rotation Press - Half Kneeling w/ Plantar Flexion Tubing (Inside Leg Down),Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00102,Anti Rotation Press - Half Kneeling w/ Plantar Flexion Tubing (Inside Leg Up),Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00103,Anti Rotation press - Lateral Walk Cable w/ arms extended,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00104,Anti Rotation Press - Lateral Walk Tubing w/ Arms Extended,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00105,Anti rotation Press - standing cable,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00106,Anti Rotation Press - Standing Tubing,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00107,Anti-Rotation Press - Ankle Extension,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00108,Anti-Rotation Press - Feet Staggered (TRX),Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00109,Anti-Rotation Press - Floating Heel,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00110,Arm Action - Seated,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00111,Arm Bar - 90/90 w/ Rotation and Press KB,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00112,Arm Bar - Sidelying KB (Feet Stacked),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00113,Arm Bar - Supine w/ Internal/External Rotation KB,Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00114,Arm Bar - Supine w/ Triple Flexion KB (Contra),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00115,Arm Criss Cross Jump with Jump Rope,Jump,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E2,,Zone_3,True,False
EX_00116,Arm Curls - Floss Band,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00117,As (TRX),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00118,As - Bent Over,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00119,Assisted Bird Dog - 90 degree leg lift,Core,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00120,Assisted Bird Dog - Leg slide with lift,Core,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00121,Assisted Bird Dog - Leg slide with lift and opposite arm lift,Core,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00122,Assisted Bridge with Mini Band,Bridge,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00123,Assisted Crunch with FMT,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,90.0,Zone_4,False,True
EX_00124,Assisted Curl Up with FMT,Core,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00125,Assisted Half Kneeling Shoulder Flexion/Extension Cervical Rotation,Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00126,Assisted Half-Kneeling Shoulder Flexion/Extension Cervical Bobbleheads,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00127,Assisted Half-Kneeling Shoulder Flexion/Extension Cervical Flexion,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00128,Assisted Half-Kneeling T-Bar Cervical Bobbleheads,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00129,Assisted Half-Kneeling T-Bar Cervical Flexion,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00130,Assisted Leg Lowering to Bolster,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00131,Assisted Massage Roller Stick - Shoulders,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00132,Assisted Massage Roller Stick - Trapezius,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00133,Assisted Reach Roll Lift with FMT,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00134,Assisted Single Leg Lowering,Other,Other,A,Youth,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00135,Assisted Standing Shoulder Flexion/Extension Cervical Flexion,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00136,Assisted Standing T-Bar Cervical Flexion,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00137,Assisted Supine Shoulder Flexion/Extension Cervical Bobblehead,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00138,Assisted Supine Shoulder Flexion/Extension Cervical Flexion,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00139,Assisted Supine T-Bar Cervical Bobbleheads,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00140,Assisted Supine T-Bar Cervical Flexion,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00141,Assisted Supine T-Bar Cervical Rotation,Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00142,Back Extension - 1 Leg (GHD),Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00143,Back Extension - Isometric Hold (GHD),Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00144,Back Pedal Skip,Skip,Locomotion-Linear,A,,,Band_1,0-2,1.0,E2,,Zone_3,True,False
EX_00145,Back Pedal to 8yd Acceleration,Other,Other,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00146,Back Squat - Barbell,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00147,"Backward Lunge, Elbow to Instep - In Place with Rotation",Lunge,Lunge-Unilateral,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00148,Backward Shuffle with Jump Rope,Jump,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E2,,Zone_3,True,False
EX_00149,Band Assisted Plyo Push-up,Push,Push-Horizontal,C,,,Band_2,1-3,1.0,E2,,"Zone_3,Zone_5",True,False
EX_00150,Band Assisted Pogo Jumps,Jump,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E1,,Zone_3,True,False
EX_00151,Band Hip Flexor Drive,Bridge,Hip-Movement,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00152,Band Pull Through,Pull,Pull-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00153,Banded Deadbug,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00154,Banded Face Pull,Pull,Pull-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00155,Banded Good Morning,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00156,Banded Joint Mobilizations,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00157,Banded Lat Pulldown,Pull,Pull-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00158,Banded Overhead Press,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00159,Banded Side Plank Clamshell,Plank,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00160,Barbell - Hip Thrust,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00161,Barbell Cyclist Squat,Squat,Squat-Bilateral,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00162,Barbell Floor Press,Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00163,Barbell JM Press,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00164,Base Pogo - Straight Leg - Quick,Other,Other,A,,,Band_1,0-2,1.0,E1,,Zone_3,True,False
EX_00165,Base Pogo - In Place,Other,Other,A,,,Band_1,0-2,1.0,E1,,Zone_3,True,False
EX_00166,Base Pogo - Side to Side Over Line,Other,Other,A,,,Band_1,0-2,1.0,E1,,Zone_3,True,False
EX_00167,Base Rotations,Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00168,Base Rotations to Crossover and Sprint,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,90.0,Zone_4,False,True
EX_00169,Base Rotations to Sprint,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,90.0,Zone_4,False,True
EX_00170,Battle Ropes - Circles,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00171,Battle Ropes - Slams,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00172,Battle Ropes - Waves,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00173,Battling Ropes Reverse Lunge Alternating Wave,Lunge,Lunge-Unilateral,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00174,Battling Ropes Split Stance Double Arm,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00175,Battling Ropes Split Stance Single Arm,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00176,Battling Ropes Symmetrical Stance Alternating,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00177,Battling Ropes Symmetrical Stance Double Arm,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00178,Battling Ropes Symmetrical Stance Figure Eight,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00179,Battling Ropes Symmetrical Stance Single Arm,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00180,Battling Ropes Tall Kneeling Single Arm,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00181,BB Drill,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00182,Bear Complex,Other,Other,A,,,Band_1,0-2,,E0,,Zone_7,False,False
EX_00183,Bear Crawl from Quadruped,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00184,Bear Crawl with Shoulder Taps,Walk,Crawling-Movement,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00185,Bell Jump with Jump Rope,Jump,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E2,,Zone_3,True,False
EX_00186,Bench Dips,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00187,Bench Flys - Cable,Other,Other,A,,,Band_1,0-2,,E0,100.0,Zone_4,False,True
EX_00188,Bench Flys - Dumbbell,Other,Other,A,,,Band_1,0-2,,E0,100.0,Zone_4,False,True
EX_00189,Bench Press - 1 Arm Dumbbell Contralateral Hip Flexion (Hips off),Press,Push-Horizontal,C,Youth,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00190,Bench Press - 1 Arm Dumbbell,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00191,Bench Press - 1 Arm Dumbbell (Hips Off Bench),Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00192,Bench Press - 1 Arm Dumbbell (Lateral Trunk Off Bench),Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00193,Bench Press - Alternating Cable,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00194,Bench Press - Alternating Dumbbell,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00195,Bench Press - Alternating Dumbbell (Alternating Contralateral Hip Flexion),Press,Push-Horizontal,C,Youth,,Band_3,2-4,,E0,,"Zone_1,Zone_6",False,False
EX_00196,Bench Press - Alternating Dumbbell (Hips Off Bench),Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00197,Bench Press - Barbell,Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00198,Bench Press - Barbell (Speed),Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00199,Bench Press - Cable,Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00200,Bench Press - Dumbbell,Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00201,Bench Press - Dumbbell (Hips Off Bench),Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00202,Bench Press - Glute Bridge 1 Arm Kettlebell,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00203,Bench Press - Glute Bridge 2 Arm Kettlebell,Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00204,Bench Press - Multigrip Bar,Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00205,Bench Press with Hip Bridge,Press,Push-Horizontal,B,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00206,Bent Knee Hamstring Stretch,Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00207,Bent Knee Hamstring Stretch (Rope),Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
